Code SAP;Code 6 chiffres;Libellé;Libellé Long;Product Brand;Umbrella Brand;Sous-marque;Marque;Pôle;Cluster;Famille;Product Type;Source;Date de lancement;Date d'arrêt;Multi-affectation Usine;Usine 1;Usine 2;Usine 3;Pays Cial 1;Pays Cial 2;Pays Cial 3;Pays Cial 4;Atelier SAP;Sous_Atelier1 ;Transformable;Nature du stickage;Typologie du stickage;Type de copacking;Produit source;Commentaires2;CE 1;Facilité dégagement;Passage par CE;Délai transport Usine=>Base;Prévisionniste;Forecast Type;Unité de Besoin Cial;Incertit Prev;Code Spécifique ;Code canni 1;Code canni 2;Code canni 3;Code switch;Type Promo;Code produit de référence;Type palette;Nbre UV par caisse;Nbre caisses par couche;Nbre caisses par palette;Poids brut palette;Poids net caisse;Forecast Class;Forecast Unit;EAN 13;Nbre pots par UV;EAN canni
91678;091678;GERV 18 PANACHE;GERVAIS PANACHE 50X18;PETIT GERVAIS FRUITS;PETIT GERVAIS;GAF 50;GAF;;;FdR;;Danone France;2-juin-2014;1-déc-2099;Non;Ferrières (FR); ;F48;FR;;;;Cheese;Gaf 50g;NON;;;;;;;N/A;Non;N/A;Luc;N/A;>>PGF_FRUITS_18 FDR;N/A;;;;;;>>> Promo Hors Lot;91678;Europe;8;8;88;722;7,2;N/A;N/A;3033490916787;18;
91679;091679;GERV 24 PANACHE;GERVAIS PANACHE 50X24;PETIT GERVAIS FRUITS;PETIT GERVAIS;GAF 50;GAF;;;FdR;;Danone France;2-juin-2014;1-déc-2099;Non;Ferrières (FR); ;F48;FR;;;;Cheese;Gaf 50g;NON;;;;;;;N/A;Non;N/A;Luc;N/A;>>PGF_FRUITS_24 FDR;N/A;;;;;;>>> Promo Hors Lot;91679;Europe;4;8;128;702;4,8;N/A;N/A;3033490916794;24;
91680;091680;GERV 12 PANACHE;GERVAIS PANACHE 50x12;PETIT GERVAIS FRUITS;PETIT GERVAIS;GAF 50;GAF;;;FdR;;Danone France;2-juin-2014;1-déc-2099;Non;Ferrières (FR); ;F48;FR;;;;Cheese;Gaf 50g;NON;;;;;;;N/A;Non;N/A;Luc;N/A;>>PGF_FRUITS_12 FDR;N/A;;;;;;>>> Promo Hors Lot;91680;Europe;8;8;128;698;4,8;N/A;N/A;3033490916800;12;
91705;091705;DAN2 YOG GLACE ES;DANONE YOG GLACE POCHE 2X5KG ES;MYDANONE;MYDANONE;Export;EXPORT;;;Export;;Danone France;2-mai-2014;1-déc-2099;Non;Le Molay (FR); ;P65;ES;;;;Stirred yoghurt;POCHE;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;1;9;72;784;10;N/A;N/A;8410500016760;2;
91732;091732;ACTIVIA12 PANACHE;ACTIVIA FRT PANACHE 125X12;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA GF;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_12 FDR;N/A;;;;;;>>> Promo Hors Lot;91732;Europe;4;9;108;719;6;N/A;N/A;3033490917326;12;
91733;091733;ACTIVIA16 PANACHE;ACTIVIA FRT PANACHE 125X16;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA GF;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_16 FDR;N/A;;;;;;>>> Promo Hors Lot;91733;Europe;3;9;108;720;6;N/A;N/A;3033490917333;16;
91734;091734;ACTIVIA 4 CERISE;ACTIVIA FRT CERISE 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91734;Europe;6;9;216;712;3;N/A;N/A;3033490917340;4;
91735;091735;ACTIVIA 4 FRAISE;ACTIVIA FRT FRAISE 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91735;Europe;6;9;216;712;3;N/A;N/A;3033490917357;4;
91736;091736;ACTIVIA 4 FIGUE;ACTIVIA FRT FIGUE 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Oui;Ferrières (FR);Villecomtal (FR);F63 - KISS;FR;CH Chapo;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91736;Europe;6;9;216;712;3;N/A;N/A;3033490917364;4;
91737;091737;ACTIV4 MÛRE FRAMB;ACTIVIA FRT MURES FRAMB 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91737;Europe;6;9;216;712;3;N/A;N/A;3033490917371;4;
91739;091739;ACTIVIA4 PRUNEAUX;ACTIVIA FRT PRUNEAU 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91739;Europe;6;9;216;712;3;N/A;N/A;3033490917395;4;
91740;091740;ACTIVIA 4 ABRICOT;ACTIVIA FRT ABRICOT 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91740;Europe;6;9;216;712;3;N/A;N/A;3033490917401;4;
91741;091741;ACTIV 4 RHUBARBE;ACTIVIA FRT RHUBARBE 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Oui;Ferrières (FR);Villecomtal (FR);F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91741;Europe;6;9;216;712;3;N/A;N/A;3033490917418;4;
91742;091742;ACTIVIA 4 ANANAS;ACTIVIA FRT ANANAS 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91742;Europe;6;9;216;712;3;N/A;N/A;3033490917425;4;
91743;091743;ACTIV 4 MANGUE;ACTIVIA FRT MANGUE 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91743;Europe;6;9;216;712;3;N/A;N/A;3033490917432;4;
91744;091744;ACTIVIA 4 KIWI;ACTIVIA FRT KIWI 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;91744;Europe;6;9;216;712;3;N/A;N/A;3033490917449;4;
91745;091745;ACTV8 A FR K M FR;ACTIVIA AB FR MA KI 125X8;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA GF;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_8 FDR;N/A;;;;;;>>> Promo Hors Lot;91745;Europe;3;9;216;726;3;N/A;N/A;3033490917456;8;
91746;091746;ACTV8 M FI P R FR;ACTIVIA ANAN RHUB FIG PRU 125X8;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA GF;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_8 FDR;N/A;;;;;;>>> Promo Hors Lot;91746;Europe;3;9;216;726;3;N/A;N/A;3033490917463;8;
93856;093856;DANIO1 0% FRAI UK;DANIO 0% FRAISE 150X1 UK;DANIO GREEK YOGURT FRUIT;DANIO;Export;EXPORT;;;Export;;Danone France;2-juin-2014;1-déc-2099;Non;Ferrières (FR); ;0;UK;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;8;12;336;477;1,2;N/A;N/A;5060360500805;1;
93857;093857;DANIO1 MYRT UK;DANIO MYRTILLE 150X1 UK;DANIO GREEK YOGURT FRUIT;DANIO;Export;EXPORT;;;Export;;Danone France;2-juin-2014;1-déc-2099;Non;Ferrières (FR); ;0;UK;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;8;12;336;477;1,2;N/A;N/A;5060360500829;1;
94790;094790;ACTIVIA 4 POIRE;ACTIVIA FRT POIRE 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-juil-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA 4;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;94790;Europe;6;9;216;712;3;N/A;N/A;3033490947903;4;
94812;094812;ACTV8+4 0% PANACH;ACTIVIA 0% FRT PANACHE 125X8+4;ACTIVIA 0%;ACTIVIA;Activia 0%;ACTIVIA;;;Lot;;Danone France;1-août-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA GF 0% lot;OUI;Copacking d'ajustement;;;90773;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_0%_12 LOT;N/A;;90773;90772;;;>>> Promo Lot;90773;Europe;4;9;108;719;6;N/A;N/A;3033490948122;12;
94813;094813;ACTV8+4 FRT PANAC;ACTIVIA FRT PANACHE 125X8+4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;Lot;;Danone France;1-août-2014;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA GF lot;OUI;Copacking d'ajustement;;;91732;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_12 LOT;N/A;;91732;91733;;;>>> Promo Lot;91732;Europe;4;9;108;719;6;N/A;N/A;3033490948139;12;
96132;096132;2V 115X4 NAT;LES 2 VACHES NATURE 115X4;L2V YOGURT NATURAL;LES 2 VACHES;Stony Field Yoghourt;STONY FIELD;;;FdR;;Danone France;1-oct-2014;1-déc-2099;Non;Le Molay (FR); ;F73;FR;;;;Stirred yoghurt;L2V;NON;;;;;;;N/A;Non;N/A;Luc;N/A;>>L2V_NATURE_X4 FDR;N/A;;;;;;>>> Promo Hors Lot;96132;Europe;4;8;224;473;1,84;N/A;N/A;3661344961326;4;
96812;096812;DAN4LIEG SENS CHO;DANETTE LIEG SENS CHOCOLAT 100X4;DANETTE LIEGEOIS;DANETTE;Danette Liegeois;DANETTE;Bilayer;8;FdR;;Danone France;1-sept-2014;1-déc-2099;Non;St Just (FR); ;F73;FR;;;;Dessert;7 - LIEGEOIS;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_LIEGEOIS_4  FDR;N/A;;;;;;>>> Promo Hors Lot;96812;Europe;8;8;96;363;3,2;N/A;N/A;3033490968120;4;
96813;096813;DAN4LIEG SENS CAR;DANETTE LIEG SENS CARAMEL 100X4;DANETTE LIEGEOIS;DANETTE;Danette Liegeois;DANETTE;Bilayer;8;FdR;;Danone France;1-sept-2014;1-avr-2018;Non;St Just (FR); ;F73;FR;;;;Dessert;7 - LIEGEOIS;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_LIEGEOIS_4  FDR;N/A;;;;;;>>> Promo Hors Lot;96813;Europe;8;8;96;363;3,2;N/A;N/A;3033490968137;4;
96818;096818;DAN4 LIEG SENS VA;DANETTE LIEG SENS VANILLE 100X4;DANETTE LIEGEOIS;DANETTE;Danette Liegeois;DANETTE;Bilayer;8;FdR;;Danone France;1-sept-2014;1-déc-2099;Non;St Just (FR); ;F73;FR;;;;Dessert;7 - LIEGEOIS;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_LIEGEOIS_4  FDR;N/A;;;;;;>>> Promo Hors Lot;96818;Europe;8;8;96;363;3,2;N/A;N/A;3033490968182;4;
97892;097892;ACTV8 PULP FRT IT;ACTIVIA PULP FRUIT 125X8 IT;ACTIVIA YOGHURT FRUITS;ACTIVIA;Export;EXPORT;;;Export;;Danone France;6-nov-2017;1-déc-2099;Non;Villecomtal (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;;Non;N/A;Export;;;N/A;;;;;;;Erreur;Europe;3;9;216;736;3;N/A;N/A;8001630008420;8;x
98282;098282;DAO1 ORA MAN VITA;DANAO ORANGE MANG VIT A 1L 6579;TIERS DANAO;TIERS;Tiers CCLF;TIERS;;;Tiers;;Sous-traitants français;22-sept-2014;1-déc-2099;Non;Lsdh (FR); ;0;FR;;;;Outsourcing;LSDH;NON;;;;;;LSDH;N/A;Oui;N/A;Manon;N/A;>>DANAO__;N/A;;;;;;>>> Promo Hors Lot;98282;Europe;6;24;120;849;6,312;N/A;N/A;3182280065799;1;
98283;098283;DAO2 ORA MAN VITA;DANAO ORAN MANG VIT A 2X1L 6580;TIERS DANAO;TIERS;Tiers CCLF;TIERS;;;Tiers;;Sous-traitants français;22-sept-2014;1-déc-2099;Non;Lsdh (FR); ;0;FR;;;;Outsourcing;LSDH;NON;;;;;;LSDH;N/A;Oui;N/A;Manon;N/A;>>DANAO__;N/A;;;;;;>>> Promo Hors Lot;98283;Europe;6;13;65;916;12,624;N/A;N/A;3182280065805;2;
98838;098838;ACTV4FUS PRU BENL;ACTIVIA FUSION PRUNEAU 125X4 BE NL;ACTIVIA YOGHURT FRUITS;ACTIVIA;Export;EXPORT;;;Export;;Danone France;8-déc-2014;1-déc-2099;Non;St Just (FR); ;F63 - KISS;BE;NL;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;;Erreur;Europe;6;9;216;714;3;N/A;N/A;3033490988388;4;
99602;099602;ACTV4 FUS PRUNEAU;ACTIVIA LIT PRUNEAU 125X4;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia bi-couche;ACTIVIA;;;FdR;Deb Réno 201501;Danone France;2-janv-2015;1-déc-2099;Non;St Just (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;5 ACTIVIA;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_SUR LIT_4 FDR;N/A;;;;;;>>> Promo Hors Lot;99602;Europe;6;9;216;714;3;N/A;N/A;3033490988388;4;
99733;099733;VEL NATURE 8+4;VELOUTE NATURE 125X8 +4GT;VELOUTE NATURE;VELOUTE;Vel nature;VELOUTE;;;Lot;;Danone France;25-janv-2015;1-févr-2018;Oui;ST Just (FR);Villecomtal (FR);F63 - KISS;FR;;;;Stirred yoghurt;2 VN LOT;OUI;Copacking d'ajustement;;;91681;;;N/A;Non;N/A;PE;N/A;>>VELOUTE_NATURE_8+4 LOT;N/A;;120173;120174;;;>>> Promo Lot;120173;Europe;4;9;108;721;6;N/A;N/A;3033490997335;12;
99789;099789;DANET4 CARAMEL ES;DANETTE CARAMEL 115X4 ES;DANET;DANET;Export;EXPORT;Small Format;8;Export;;Danone France;4-janv-2015;19-févr-2018;Non;St Just (FR); ;0;ES;;;;Dessert;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;8;8;128;531;3,68;N/A;N/A;8410500019006;4;
100176;100176;GERV2 BICOU AGRUM;GERVAIS BICOUCHE AGRUMES 115X2;GERVAIS YOGHURT FRUITS;GERVAIS;Gervais;GERVAIS;;6;FdR;;Import;1-févr-2015;1-déc-2099;Non;Ochsenfurt (ALL); ;F93;FR;BE;AT;;IMPORT;Griego;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>GERVAIS_FRUITS_X2 FDR;N/A;;;;;;>>> Promo Hors Lot;100176;Europe;8;12;216;492;1,84;N/A;N/A;3033491001765;2;
100177;100177;GERV2 BICOU FRAIS;GERVAIS BICOUCHE FRAISE 115X2;GERVAIS YOGHURT FRUITS;GERVAIS;Gervais;GERVAIS;;6;FdR;;Import;1-févr-2015;1-déc-2099;Non;Ochsenfurt (ALL); ;F93;FR;BE;AT;;IMPORT;Griego;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>GERVAIS_FRUITS_X2 FDR;N/A;;;;;;>>> Promo Hors Lot;100177;Europe;8;12;216;492;1,84;N/A;N/A;3033491001772;2;
100637;100637;DANET 4 CHOCO HU;DANETTE CHOCOLAT 125X4 HU;DANETTE CREME DESSERT;DANETTE;Export;EXPORT;Small Format;8;Export;;Danone France;2-mai-2015;1-déc-2099;Oui;ST Just (FR);Bailleul (FR);0;HU;CZSK;;;Dessert;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;8;8;128;574;4;N/A;N/A;5997536141503;4;
100638;100638;DANET 4 VANIL HU;DANETTE VANILLE 125X4 HU;DANETTE CREME DESSERT;DANETTE;Export;EXPORT;Small Format;8;Export;;Danone France;2-mai-2015;1-déc-2099;Oui;ST Just (FR);Bailleul (FR);0;HU;CZSK;;;Dessert;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;8;8;128;574;4;N/A;N/A;5997536141510;4;
101006;101006;DEC 12;REC CREMEUSE PANAC 125X12;RECETTE CREMEUSE AUX FRUITS;RECETTE CREMEUSE;Rec x12;REC;;;FdR;Deb Réno 201503;Danone France;1-mars-2015;1-déc-2099;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;REC;NON;;;;;;;N/A;Non;N/A;Nicolas;N/A;>>REC_FRUITS_16 FDR;N/A;;;;;;>>> Promo Hors Lot;101006;Europe;4;9;108;724;6;N/A;N/A;3033491010064;12;
101007;101007;DEC 12;REC CREMEUSE PANAC 125X16;RECETTE CREMEUSE AUX FRUITS;RECETTE CREMEUSE;Rec x16;REC;;;FdR;Deb Réno 201503;Danone France;1-mars-2015;1-déc-2099;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;REC;NON;;;;;;;N/A;Non;N/A;Nicolas;N/A;>>REC_FRUITS_12 FDR;N/A;;;;;;>>> Promo Hors Lot;101007;Europe;3;9;108;725;6;N/A;N/A;3033491010071;16;
101117;101117;L2V P FRAI PECH 6;LES 2 VACHES PAIL FRA PE 100X6;L2V ENFANTS FRUITS;LES 2 VACHES;Stony Field Yoghourt;STONY FIELD;;;FdR;;Danone France;1-avr-2015;1-déc-2099;Non;Le Molay (FR); ;P65;FR;;;;Stirred yoghurt;L2V;NON;;;;;;;N/A;Non;N/A;Luc;N/A;>>L2V_A_BOIRE_X6 FDR;N/A;;;;;;>>> Promo Hors Lot;101117;Europe;4;9;162;459;2,4;N/A;N/A;3661344011175;6;
101199;101199;DANETPOP 4 CHOCO;DANETTE POP CHOCO MAGIX 120X4;DANETTE GRAINS DE MALICE;DANETTE;Danette GM;DANETTE;;;FdR;Deb Réno 201504;Danone France;1-avr-2015;1-déc-2099;Non;Le Molay (FR); ;F12673;FR;;;;Dessert;DGM;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_CROUSTI_4 FDR;N/A;;;;;;>>> Promo Hors Lot;101199;Europe;6;8;144;477;2,88;N/A;N/A;3033491011993;4;
101200;101200;DANETPOP4 VANILLE;DANETTE POP SAV VA 3 CHO 117X4;DANETTE GRAINS DE MALICE;DANETTE;Danette GM;DANETTE;;;FdR;Deb Réno 201504;Danone France;1-avr-2015;1-déc-2099;Non;Le Molay (FR); ;F12673;FR;;;;Dessert;DGM;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_CROUSTI_4 FDR;N/A;;;;;;>>> Promo Hors Lot;101200;Europe;6;8;144;467;2,808;N/A;N/A;3033491012006;4;
101201;101201;DANPOP4 VA BI CAR;DANETTE POP SA VA BIL CA 120X4;DANETTE GRAINS DE MALICE;DANETTE;Danette GM;DANETTE;;;FdR;;Danone France;1-avr-2015;1-déc-2099;Non;Le Molay (FR); ;F12673;FR;;;;Dessert;DGM;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_CROUSTI_4 FDR;N/A;;;;;;>>> Promo Hors Lot;101201;Europe;6;8;144;477;2,88;N/A;N/A;3033491012013;4;
101202;101202;DANETPOP 4 CHOCO;DANETTE POP CHOC 3 CHOCO 117X4;DANETTE GRAINS DE MALICE;DANETTE;Danette GM;DANETTE;;;FdR;Deb Réno 201504;Danone France;1-avr-2015;1-déc-2099;Non;Le Molay (FR); ;F12673;FR;;;;Dessert;DGM;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_CROUSTI_4 FDR;N/A;;;;;;>>> Promo Hors Lot;101202;Europe;6;8;144;467;2,808;N/A;N/A;3033491012020;4;
101277;101277;ACTV8 FRTS VERGER;ACTIVIA ABR POI FIG CER 125X8;ACTIVIA YOGHURT FRUITS;ACTIVIA;Activia fruits;ACTIVIA;;;FdR;;Danone France;1-avr-2015;1-avr-2018;Non;Villecomtal (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;ACTIVIA GF;NON;;;;;;;N/A;Non;N/A;Jérôme;N/A;>>ACTIVIA_FRUITS_8 FDR;N/A;;;;;;>>> Promo Hors Lot;101277;Europe;3;9;216;726;3;N/A;N/A;3033491012778;8;
101743;101743;VITA145X2 CERI BE;VITALINEA CERISE 145X2 BE;VITALINEA YOGHURT FRUIT;VITALINEA;Export;EXPORT;;;Export;;Danone France;11-mai-2015;1-déc-2099;Non;Ferrières (FR); ;0;BE;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;4;12;336;463;1,16;N/A;N/A;5410146415159;2;
101744;101744;VITA145X2 FRAM BE;VITALINEA FRAMBOISE 145X2 BE;VITALINEA YOGHURT FRUIT;VITALINEA;Export;EXPORT;;;Export;;Danone France;2-nov-2015;1-déc-2099;Non;Ferrières (FR); ;0;BE;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;4;12;336;463;1,16;N/A;N/A;5410146415166;2;
101745;101745;VITA145X2 ANAN BE;VITALINEA ANANAS 145X2 BE;VITALINEA YOGHURT FRUIT;VITALINEA;Export;EXPORT;;;Export;;Danone France;11-mai-2015;1-déc-2099;Non;Ferrières (FR); ;0;BE;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;4;12;336;463;1,16;N/A;N/A;5410146415173;2;
101805;101805;DANET POP CHOC BE;DANETTE POP CHOC 3 CHOCO 117X4 BE;DANETTE GRAINS DE MALICE;DANETTE;Export;EXPORT;;;Export;;Danone France;1-avr-2015;1-déc-2099;Non;Le Molay (FR); ;F12673;BE;CH Rotselaar;;;Dessert;DGM;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>TAF_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;101805;Europe;6;8;144;467;2,808;N/A;N/A;3033491012020;4;
101806;101806;DANET POP VA BE;DANETTE POP SAV VA 3 CHO 117X4 BE;DANETTE GRAINS DE MALICE;DANETTE;Export;EXPORT;;;Export;;Danone France;1-avr-2015;1-déc-2099;Non;Le Molay (FR); ;F12673;BE;;;;Dessert;DGM;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>TAF_FRUITS_4 FDR;N/A;;;;;;>>> Promo Hors Lot;101806;Europe;6;8;144;467;2,808;N/A;N/A;3033491012006;4;
101812;101812;DAO1L FRAMBOISE;DANAO MPF FRAMBOISE 1L 6651;TIERS DANAO;TIERS;Tiers CCLF;TIERS;;;Tiers;;Sous-traitants français;2-mars-2015;1-déc-2099;Non;Lsdh (FR); ;0;FR;;;;Outsourcing;LSDH;NON;;;;;;LSDH;N/A;Oui;N/A;Manon;N/A;>>DANAO__;N/A;;;;;;>>> Promo Hors Lot;101812;Europe;6;24;120;842;6,27;N/A;N/A;3182280066512;1;
101816;101816;DAO2L FRAMBOISE;DANAO MPF FRAMBOISE 2X1L 6715;TIERS DANAO;TIERS;Tiers CCLF;TIERS;;;Tiers;;Sous-traitants français;2-mars-2015;1-déc-2099;Non;Lsdh (FR); ;0;FR;;;;Outsourcing;LSDH;NON;;;;;;LSDH;N/A;Oui;N/A;Manon;N/A;>>DANAO__;N/A;;;;;;>>> Promo Hors Lot;101816;Europe;6;13;65;908;12,54;N/A;N/A;3182280067151;2;
101831;101831;DAO25 PECH ABRIC;DANAO POCKET PEC ABR 25CLX1 6653;TIERS DANAO;TIERS;Tiers CCLF;TIERS;;;Tiers;;Sous-traitants français;2-mars-2015;1-déc-2099;Non;Lsdh (FR); ;0;FR;;;;Outsourcing;LSDH;NON;;;;;;LSDH;N/A;Oui;N/A;Manon;N/A;>>DANAO__;N/A;;;;;;>>> Promo Hors Lot;101831;Europe;8;35;280;715;2,104;N/A;N/A;3182280066536;1;
