Code SAP;Code 6 chiffres;Libellé;Libellé Long;Product Brand;Umbrella Brand;Sous-marque;Marque;Pôle;Cluster;Famille;Product Type;Source;Date de lancement;Date d'arrêt;Multi-affectation Usine;Usine 1;Usine 2;Usine 3;Pays Cial 1;Pays Cial 2;Pays Cial 3;Pays Cial 4;Atelier SAP;Sous_Atelier1 ;Transformable;Nature du stickage;Typologie du stickage;Type de copacking;Produit source;Commentaires2;CE 1;Facilité dégagement;Passage par CE;Délai transport Usine=>Base;Prévisionniste;Forecast Type;Unité de Besoin Cial;Incertit Prev;Code Spécifique ;Code canni 1;Code canni 2;Code canni 3;Code switch;Type Promo;Code produit de référence;Type palette;Nbre UV par caisse;Nbre caisses par couche;Nbre caisses par palette;Poids brut palette;Poids net caisse;Forecast Class;Forecast Unit;EAN 13;Nbre pots par UV;EAN canni
11341;011341;ACTIV4 PRUN GB&IE;ACTIVIA PRUNEAU 125X4 GB IE;ACTIVIA YOGHURT FOB;ACTIVIA;Export;EXPORT;;;Export;;Danone France;1-oct-2004;1-déc-2099;Non;St Just (FR); ;F63 - KISS;UK;IE;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;>>> Promo Hors Lot;11341;Europe;6;9;216;744;3;N/A;N/A;5060058331988;4;
11764;011764;ACTIV 4 FRAISE BE;ACTIVIA FRAISE 125GX4 BE;ACTIVIA YOGHURT FRUITS;ACTIVIA;Export;EXPORT;;;Export;;Danone France;1-oct-2004;22-janv-2018;Oui;Ferrières (FR);Villecomtal (FR);F63 - KISS;BE;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;>>> Promo Hors Lot;11764;Europe;6;9;216;714;3;N/A;N/A;5060058331971;4;
12809;012809;DANET 4 PISTAC BE;DANETTE SAV PISTACHE 125X4 BE;DANETTE CREME DESSERT;DANETTE;Export;EXPORT;Small Format;8;Export;;Danone France;17-févr-2004;1-déc-2099;Non;Bailleul (FR); ;0;BE;;;;Dessert;> Ba8;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>DANET_Export_;N/A;;;;;;>>> Promo Hors Lot;12809;Europe;8;8;128;574;4;N/A;N/A;3033490112134;4;
12963;012963;ACTIV8 FRT ROU UK;ACTIVIA FRUITS PANACHE 125X8 EN;ACTIVIA YOGHURT FRUITS;ACTIVIA;Export;EXPORT;;;Export;;Danone France;4-janv-2006;1-déc-2099;Non;Ferrières (FR); ;F63 - KISS;UK;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;12963;Europe;6;9;108;729;6;N/A;N/A;5060058332138;8;
13300;013300;ACTIV 4 MANGUE BE;ACTIVIA MANGUE 125GX4 BE;ACTIVIA YOGHURT FRUITS;ACTIVIA;Export;EXPORT;;;Export;;Danone France;17-août-2005;22-janv-2018;Oui;Ferrières (FR);Villecomtal (FR);F63 - KISS;BE;IE;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;>>> Promo Hors Lot;13300;Europe;6;9;216;714;3;N/A;N/A;5410146408465;4;
13941;013941;DANONINO 4 DUO SW;DANONINO DUO FRAISE BANA 95X4 SW;FRUCHTZWERGE FROMAGE;FRUCHTZWERGE;Export;EXPORT;;;Export;;Danone France;18-févr-2015;1-déc-2099;Non;Ferrières (FR); ;0;SDN;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;6;9;216;560;2,28;N/A;N/A;5410146408632;4;
14148;014148;ACTIV4 CEREAL EN;ACTIVIA CEREALES 125GX4 EN;ACTIVIA YOGHURT CEREALS/FIBRES;ACTIVIA;Export;EXPORT;;;Export;;Danone France;26-sept-2005;1-déc-2099;Non;St Just (FR); ;F63 - KISS;UK;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;14148;Europe;6;9;216;736;3;N/A;N/A;5060058332725;4;
14358;014358;DANET6 LAIT CHOCO;PETITE DANETTE LAIT CHOCO 70X6;DANETTE GOUTER AU LAIT;DANETTE;Danette GL;DANETTE;;;FdR;;Danone France;1-oct-2005;1-déc-2099;Non;Le Molay (FR); ;F63 - OTHERS;FR;;;;Dessert;DGAL;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_GAL_6 FDR;N/A;;;;;;>>> Promo Hors Lot;14358;Europe;4;9;288;561;1,68;N/A;N/A;3033490143589;6;
16542;016542;GERV 50X18+6GT;GERVAIS PANACHE 50X18 PLUS 6GT;PETIT GERVAIS FRUITS;PETIT GERVAIS;GAF 50;GAF;;;Lot;;Danone France;1-avr-2006;1-avr-2018;Non;Ferrières (FR); ;F48;FR;;;;Cheese;Gaf 50g;OUI;Copacking d'ajustement;;;91679;;;N/A;Non;N/A;Luc;N/A;>>PGF_FRUITS_24 LOT;N/A;;59388;59387;;;>>> Promo Lot;59388;Europe;4;8;128;702;4,8;N/A;N/A;3033490165420;24;
16699;016699;DANET4 CHOCO CHOC;DANET CHOCO 125X4 PX CHOC;DANETTE CREME DESSERT;DANETTE;Danette x4 std et spec;DANETTE;Small Format;8;Lot;;Danone France;2-mai-2006;1-déc-2099;Oui;Bailleul (FR);St Just (FR);F73;FR;;;;Dessert;2 - LOT 4 BAI;OUI;Copacking d'ajustement;;;90628;;;N/A;Non;N/A;Manon;N/A;>>DANET_C. DESSERT_4 LOT;N/A;;90628;;;;>>> Promo Lot;90628;Europe;8;8;128;574;4;N/A;N/A;3033490166991;4;
